location,horn,bray,turnover,nestedness,alpha,gamma,prop_resident,region,state_area,log_state_area,latitude,longitude,jan_temp,jul_temp,temp_range
MI,0.011927731421709253,0.07253701763967166,0.048127129542203134,0.024409888097468524,240.35416666666666,407.0,0.2628992628992629,michigan,150778.85783999998,11.923569524727053,43.1361,-84.687,-6.2,21.4,27.599999999999998
MN,0.01569045237097548,0.09066475577679353,0.05498746873369936,0.03567728704309417,220.77083333333334,395.0,0.20506329113924052,minnesota,217735.27931999997,12.291035288847434,46.3943,-94.6043,-14.4,20.8,35.2
MO,0.011363592655975708,0.06892588867703371,0.045179638528198056,0.023746250148835663,217.25,383.0,0.21409921671018275,missouri,180486.04314,12.103408730441371,38.3347,-92.5137,-1.6,25.7,27.3
MS,0.015470982492845325,0.0933143999689253,0.06413393597562751,0.029180463993297778,227.77083333333334,384.0,0.2421875,mississippi,123583.96284,11.724676065101969,32.6758,-89.8065,6.3,26.6,20.3
MT,0.012462980269473628,0.08246434225647523,0.05396512097524941,0.028499221281225815,224.5,404.0,0.2400990099009901,montana,381085.94862,12.850780215597066,46.823,-109.32,-8.0,15.0,23.0
NC,0.010224871442996062,0.06737045351200105,0.049291544205456506,0.018078909306544544,276.0208333333333,429.0,0.31002331002331,north carolina,136197.21414,11.821859218303338,35.4195,-78.4686,5.0,25.8,20.8
ND,0.03081388866357634,0.1362103176429916,0.09164154274120993,0.04456877490178166,179.45833333333334,362.0,0.10773480662983426,north dakota,183021.64335,12.117359694502383,47.2517,-100.099,-14.5,20.5,35.0
NE,0.01859890377130083,0.10051595107813853,0.07030243113574522,0.0302135199423933,202.8125,404.0,0.13613861386138615,nebraska,200017.15772999998,12.206158430500539,41.3356,-99.5898,-5.6,23.1,28.700000000000003
NH,0.01578948200621785,0.08614425516632458,0.05722028075539187,0.02892397441093271,213.95833333333334,386.0,0.20984455958549222,new hampshire,24097.266959999997,10.089853708898632,43.3934,-71.3924,-7.7,19.7,27.4
NJ,0.011026419432124287,0.07156065909276975,0.04777140968704635,0.023789249405723394,271.9791666666667,435.0,0.27816091954022987,new jersey,20295.16164,9.918137793764563,39.9637,-74.2336,-0.5,23.4,23.9
NM,0.0112100649599782,0.07842017263339088,0.051921308469501916,0.02649886416388896,312.1458333333333,508.0,0.3188976377952756,new mexico,315113.72333999997,12.660688879129584,34.4764,-105.942,0.2,21.9,21.7
