location,alpha,gamma,beta,absolute_turnover,whittaker,proportional,var_alpha,n_checklists_per_week,replicate_number
US-HI,12.125,84.0,6.927835051546392,71.875,5.927835051546392,0.8556547619047619,8.324468085106384,2.0,15
US-ID,20.833333333333332,189.0,9.072000000000001,168.16666666666666,8.072000000000001,0.8897707231040565,28.73758865248227,2.0,15
US-IL,23.125,192.0,8.302702702702703,168.875,7.302702702702703,0.8795572916666666,52.28191489361702,2.0,15
US-IN,29.416666666666668,203.0,6.90084985835694,173.58333333333334,5.90084985835694,0.8550903119868637,65.52482269503547,2.0,15
US-IA,22.729166666666668,177.0,7.787351054078826,154.27083333333334,6.787351054078826,0.8715866290018832,54.62721631205674,2.0,15
US-KS,28.166666666666668,210.0,7.455621301775148,181.83333333333334,6.455621301775148,0.8658730158730159,47.3758865248227,2.0,15
US-KY,27.645833333333332,189.0,6.836473247927657,161.35416666666666,5.836473247927657,0.8537257495590829,49.08466312056738,2.0,15
US-LA,38.125,243.0,6.3737704918032785,204.875,5.3737704918032785,0.8431069958847737,38.66489361702128,2.0,15
US-ME,22.208333333333332,195.0,8.78048780487805,172.79166666666666,7.7804878048780495,0.8861111111111111,46.423758865248224,2.0,15
US-MD,28.354166666666668,199.0,7.018368846436443,170.64583333333334,6.018368846436443,0.8575167504187604,35.63785460992908,2.0,15
US-MA,27.125,206.0,7.594470046082949,178.875,6.594470046082949,0.8683252427184466,68.9627659574468,2.0,15
US-MI,23.520833333333332,187.0,7.950398582816653,163.47916666666666,6.950398582816653,0.8742201426024956,67.78679078014184,2.0,15
US-MN,17.0,170.0,10.0,153.0,9.0,0.9,47.744680851063826,2.0,15
US-MS,33.041666666666664,225.0,6.809583858764187,191.95833333333334,5.809583858764187,0.8531481481481482,24.849290780141843,2.0,15
US-MO,28.666666666666668,198.0,6.906976744186046,169.33333333333334,5.906976744186046,0.8552188552188552,59.843971631205676,2.0,15
US-MT,19.916666666666668,196.0,9.841004184100418,176.08333333333334,8.841004184100418,0.8983843537414966,67.39716312056737,2.0,15
US-NE,23.729166666666668,185.0,7.796312554872695,161.27083333333334,6.796312554872695,0.8717342342342342,56.371897163120565,2.0,15
US-NV,24.541666666666668,218.0,8.882852292020374,193.45833333333334,7.882852292020374,0.8874235474006116,49.14716312056738,2.0,15
US-NH,21.791666666666668,182.0,8.351816443594647,160.20833333333334,7.351816443594647,0.8802655677655677,65.10460992907801,2.0,15
US-NJ,32.416666666666664,231.0,7.125964010282777,198.58333333333334,6.125964010282777,0.8596681096681097,62.88652482269504,2.0,15
US-NM,23.75,218.0,9.178947368421053,194.25,8.178947368421053,0.8910550458715596,20.70212765957447,2.0,15
US-NY,24.333333333333332,191.0,7.849315068493151,166.66666666666666,6.849315068493151,0.8726003490401396,61.3758865248227,2.0,15
US-NC,28.354166666666668,204.0,7.194709772226304,175.64583333333334,6.194709772226304,0.8610089869281046,33.25487588652482,2.0,15
US-ND,21.604166666666668,210.0,9.720347155255544,188.39583333333334,8.720347155255544,0.8971230158730159,130.92508865248226,2.0,15
US-OH,27.229166666666668,190.0,6.977811782708493,162.77083333333334,5.977811782708493,0.8566885964912281,47.58466312056738,2.0,15
US-OK,26.6875,209.0,7.831381733021077,182.3125,6.831381733021077,0.8723086124401914,33.11303191489362,2.0,15
US-OR,24.1875,209.0,8.640826873385013,184.8125,7.640826873385013,0.8842703349282297,25.304521276595743,2.0,15
US-PA,23.229166666666668,174.0,7.490582959641255,150.77083333333334,6.490582959641255,0.8664990421455938,43.967641843971634,2.0,15
US-RI,24.895833333333332,191.0,7.671966527196653,166.10416666666666,6.671966527196653,0.8696553228621291,40.18040780141844,2.0,15
US-SC,26.4375,206.0,7.791962174940898,179.5625,6.791962174940898,0.8716626213592233,30.847074468085108,2.0,15
US-SD,17.875,192.0,10.741258741258742,174.125,9.741258741258742,0.9069010416666666,53.34574468085106,2.0,15
US-TN,27.333333333333332,168.0,6.146341463414634,140.66666666666666,5.146341463414634,0.8373015873015873,35.54609929078014,2.0,15
US-TX,30.0,293.0,9.766666666666667,263.0,8.766666666666667,0.8976109215017065,34.8936170212766,2.0,15
US-UT,23.333333333333332,212.0,9.085714285714285,188.66666666666666,8.085714285714285,0.889937106918239,47.290780141843975,2.0,15
US-VT,19.25,158.0,8.207792207792208,138.75,7.207792207792208,0.8781645569620253,58.48936170212766,2.0,15
US-VA,26.75,199.0,7.4392523364485985,172.25,6.4392523364485985,0.8655778894472361,28.617021276595743,2.0,15
US-WA,25.625,210.0,8.195121951219512,184.375,7.195121951219512,0.8779761904761905,26.324468085106382,2.0,15
US-WV,23.875,165.0,6.9109947643979055,141.125,5.9109947643979055,0.8553030303030303,41.13297872340426,2.0,15
US-WI,23.166666666666668,184.0,7.942446043165467,160.83333333333334,6.942446043165467,0.8740942028985508,77.2482269503546,2.0,15
US-WY,15.875,161.0,10.141732283464567,145.125,9.141732283464567,0.9013975155279503,44.409574468085104,2.0,15
US-AL,66.39583333333333,268.0,4.036397866331974,201.60416666666669,3.036397866331974,0.7522543532338308,123.90381205673759,8.0,15
US-AK,53.833333333333336,254.0,4.7182662538699685,200.16666666666666,3.7182662538699685,0.7880577427821522,291.7588652482269,8.0,15
US-AZ,78.75,330.0,4.190476190476191,251.25,3.1904761904761907,0.7613636363636364,66.02127659574468,8.0,15
US-AR,67.625,266.0,3.933456561922366,198.375,2.933456561922366,0.7457706766917294,94.28191489361703,8.0,15
US-CA,88.66666666666667,348.0,3.924812030075188,259.3333333333333,2.924812030075188,0.7452107279693486,49.5886524822695,8.0,15
US-CO,58.5,285.0,4.871794871794871,226.5,3.8717948717948714,0.7947368421052632,171.95744680851064,8.0,15
US-CT,56.25,238.0,4.231111111111111,181.75,3.231111111111111,0.7636554621848739,173.68085106382978,8.0,15
US-DE,72.95833333333333,268.0,3.6733295259851517,195.04166666666669,2.6733295259851517,0.7277674129353233,209.53014184397162,8.0,15
US-FL,72.9375,275.0,3.770351328191945,202.0625,2.770351328191945,0.7347727272727274,89.67686170212765,8.0,15
US-GA,67.58333333333333,258.0,3.8175092478421706,190.41666666666669,2.8175092478421706,0.7380490956072352,92.54609929078015,8.0,15
US-HI,33.520833333333336,129.0,3.8483530142945925,95.47916666666666,2.8483530142945925,0.7401485788113695,21.318705673758867,8.0,15
US-ID,56.395833333333336,250.0,4.4329516069449575,193.60416666666666,3.4329516069449575,0.7744166666666666,150.6697695035461,8.0,15
US-IL,57.104166666666664,254.0,4.448011674571324,196.89583333333334,3.4480116745713243,0.7751804461942258,225.3293439716312,8.0,15
US-IN,66.22916666666667,258.0,3.895564642969487,191.77083333333331,2.895564642969487,0.743297803617571,191.15913120567376,8.0,15
US-IA,52.145833333333336,238.0,4.564123052337195,185.85416666666666,3.5641230523371954,0.7808998599439776,270.46764184397165,8.0,15
US-KS,69.08333333333333,276.0,3.995174909529554,206.91666666666669,2.995174909529554,0.7496980676328502,206.54609929078015,8.0,15
